hostname=node2, be=0, 64-bit, os=Linux, arch=aarch64, fio=fio-3.12, flags=1
<node2> rbd: (g=0): rw=randrw, bs=(R) 8192B-8192B, (W) 8192B-8192B, (T) 8192B-8192B, ioengine=rbd, iodepth=64
<node2> Starting 1 process
Jobs: 1 (f=1)
Jobs: 1 (f=1)
Jobs: 1 (f=1): [m(1)][17.7%][r=7592k,w=3432k][r=949,w=429 IOPS][eta 08m:14s]
Jobs: 1 (f=1): [m(1)][17.8%][r=7856k,w=2944k][r=982,w=368 IOPS][eta 08m:13s]
Jobs: 1 (f=1): [m(1)][18.0%][r=7744k,w=3128k][r=968,w=391 IOPS][eta 08m:12s]
Jobs: 1 (f=1): [m(1)][18.2%][r=7600k,w=2920k][r=950,w=365 IOPS][eta 08m:11s]
Jobs: 1 (f=1): [m(1)][18.3%][r=7360k,w=3200k][r=920,w=400 IOPS][eta 08m:10s]
Jobs: 1 (f=1): [m(1)][18.5%][r=6072k,w=2624k][r=759,w=328 IOPS][eta 08m:09s]
Jobs: 1 (f=1): [m(1)][18.7%][r=7472k,w=3336k][r=934,w=417 IOPS][eta 08m:08s]
Jobs: 1 (f=1): [m(1)][18.8%][r=6672k,w=2960k][r=834,w=370 IOPS][eta 08m:07s]
Jobs: 1 (f=1): [m(1)][19.0%][r=6760k,w=2896k][r=845,w=362 IOPS][eta 08m:06s]
Jobs: 1 (f=1): [m(1)][19.2%][r=6568k,w=2976k][r=821,w=372 IOPS][eta 08m:05s]
Jobs: 1 (f=1): [m(1)][19.3%][r=6624k,w=3216k][r=828,w=402 IOPS][eta 08m:04s]
Jobs: 1 (f=1): [m(1)][19.5%][r=7024k,w=3136k][r=878,w=392 IOPS][eta 08m:03s]
Jobs: 1 (f=1): [m(1)][19.7%][r=6248k,w=2696k][r=781,w=337 IOPS][eta 08m:02s]
Jobs: 1 (f=1): [m(1)][19.8%][r=6936k,w=3056k][r=867,w=382 IOPS][eta 08m:01s]
Jobs: 1 (f=1): [m(1)][20.0%][r=7336k,w=3088k][r=917,w=386 IOPS][eta 08m:00s]
Jobs: 1 (f=1): [m(1)][20.2%][r=7064k,w=2952k][r=883,w=369 IOPS][eta 07m:59s]
Jobs: 1 (f=1): [m(1)][20.3%][r=7208k,w=3040k][r=901,w=380 IOPS][eta 07m:58s]
Jobs: 1 (f=1): [m(1)][20.5%][r=6536k,w=2696k][r=817,w=337 IOPS][eta 07m:57s]
Jobs: 1 (f=1): [m(1)][20.7%][r=6952k,w=3216k][r=869,w=402 IOPS][eta 07m:56s]
Jobs: 1 (f=1): [m(1)][20.8%][r=7304k,w=2960k][r=913,w=370 IOPS][eta 07m:55s]
Jobs: 1 (f=1): [m(1)][21.0%][r=7096k,w=3000k][r=887,w=375 IOPS][eta 07m:54s]
Jobs: 1 (f=1): [m(1)][21.2%][r=7472k,w=2728k][r=934,w=341 IOPS][eta 07m:53s]
Jobs: 1 (f=1): [m(1)][21.3%][r=6840k,w=2928k][r=855,w=366 IOPS][eta 07m:52s]
Jobs: 1 (f=1): [m(1)][21.5%][r=6712k,w=2880k][r=839,w=360 IOPS][eta 07m:51s]
Jobs: 1 (f=1): [m(1)][21.7%][r=6760k,w=3240k][r=845,w=405 IOPS][eta 07m:50s]
Jobs: 1 (f=1): [m(1)][21.8%][r=6528k,w=2672k][r=816,w=334 IOPS][eta 07m:49s]
Jobs: 1 (f=1): [m(1)][22.0%][r=6992k,w=2872k][r=874,w=359 IOPS][eta 07m:48s]
Jobs: 1 (f=1): [m(1)][22.2%][r=7584k,w=3456k][r=948,w=432 IOPS][eta 07m:47s]
Jobs: 1 (f=1): [m(1)][22.3%][r=7448k,w=3384k][r=931,w=423 IOPS][eta 07m:46s]
Jobs: 1 (f=1): [m(1)][22.5%][r=5712k,w=2600k][r=714,w=325 IOPS][eta 07m:45s]
Jobs: 1 (f=1): [m(1)][22.7%][r=7784k,w=3512k][r=973,w=439 IOPS][eta 07m:44s]
Jobs: 1 (f=1): [m(1)][22.8%][r=8056k,w=3336k][r=1007,w=417 IOPS][eta 07m:43s]
Jobs: 1 (f=1): [m(1)][23.0%][r=6944k,w=3000k][r=868,w=375 IOPS][eta 07m:42s] 
Jobs: 1 (f=1): [m(1)][23.2%][r=7160k,w=3096k][r=895,w=387 IOPS][eta 07m:41s]
Jobs: 1 (f=1): [m(1)][23.3%][r=7776k,w=3072k][r=972,w=384 IOPS][eta 07m:40s]
Jobs: 1 (f=1): [m(1)][23.5%][r=7352k,w=3104k][r=919,w=388 IOPS][eta 07m:39s]
Jobs: 1 (f=1): [m(1)][23.7%][r=6968k,w=2784k][r=871,w=348 IOPS][eta 07m:38s]
Jobs: 1 (f=1): [m(1)][23.8%][r=7360k,w=3352k][r=920,w=419 IOPS][eta 07m:37s]
Jobs: 1 (f=1): [m(1)][24.0%][r=7328k,w=2696k][r=916,w=337 IOPS][eta 07m:36s]
Jobs: 1 (f=1): [m(1)][24.2%][r=7288k,w=3120k][r=911,w=390 IOPS][eta 07m:35s]
Jobs: 1 (f=1): [m(1)][24.3%][r=7136k,w=3176k][r=892,w=397 IOPS][eta 07m:34s]
Jobs: 1 (f=1): [m(1)][24.5%][r=6312k,w=2840k][r=789,w=355 IOPS][eta 07m:33s]
Jobs: 1 (f=1): [m(1)][24.7%][r=6848k,w=3080k][r=856,w=385 IOPS][eta 07m:32s]
Jobs: 1 (f=1): [m(1)][24.8%][r=6888k,w=3144k][r=861,w=393 IOPS][eta 07m:31s]
Jobs: 1 (f=1): [m(1)][25.0%][r=7712k,w=2920k][r=964,w=365 IOPS][eta 07m:30s]
Jobs: 1 (f=1): [m(1)][25.2%][r=6888k,w=3056k][r=861,w=382 IOPS][eta 07m:29s]
Jobs: 1 (f=1): [m(1)][25.3%][r=6632k,w=2800k][r=829,w=350 IOPS][eta 07m:28s]
Jobs: 1 (f=1): [m(1)][25.5%][r=7408k,w=3256k][r=926,w=407 IOPS][eta 07m:27s]
Jobs: 1 (f=1): [m(1)][25.7%][r=6184k,w=3392k][r=773,w=424 IOPS][eta 07m:26s]
Jobs: 1 (f=1): [m(1)][25.8%][r=7656k,w=2957k][r=957,w=369 IOPS][eta 07m:25s]
Jobs: 1 (f=1): [m(1)][26.0%][r=6240k,w=2640k][r=780,w=330 IOPS][eta 07m:24s]
Jobs: 1 (f=1): [m(1)][26.2%][r=7080k,w=2856k][r=885,w=357 IOPS][eta 07m:23s]
Jobs: 1 (f=1): [m(1)][26.3%][r=7704k,w=3112k][r=963,w=389 IOPS][eta 07m:22s]
Jobs: 1 (f=1): [m(1)][26.5%][r=6384k,w=2920k][r=798,w=365 IOPS][eta 07m:21s]
Jobs: 1 (f=1): [m(1)][26.7%][r=7168k,w=3016k][r=896,w=377 IOPS][eta 07m:20s]
Jobs: 1 (f=1): [m(1)][26.8%][r=8008k,w=3208k][r=1001,w=401 IOPS][eta 07m:19s]
Jobs: 1 (f=1): [m(1)][27.0%][r=6896k,w=3104k][r=862,w=388 IOPS][eta 07m:18s] 
Jobs: 1 (f=1): [m(1)][27.2%][r=6800k,w=2576k][r=850,w=322 IOPS][eta 07m:17s]
Jobs: 1 (f=1): [m(1)][27.3%][r=7048k,w=3088k][r=881,w=386 IOPS][eta 07m:16s]
Jobs: 1 (f=1): [m(1)][27.5%][r=7224k,w=2864k][r=903,w=358 IOPS][eta 07m:15s]
Jobs: 1 (f=1): [m(1)][27.7%][r=6816k,w=3064k][r=852,w=383 IOPS][eta 07m:14s]
Jobs: 1 (f=1): [m(1)][27.8%][r=6752k,w=3088k][r=844,w=386 IOPS][eta 07m:13s]
Jobs: 1 (f=1): [m(1)][28.0%][r=7488k,w=3096k][r=936,w=387 IOPS][eta 07m:12s]
Jobs: 1 (f=1): [m(1)][28.2%][r=7360k,w=3000k][r=920,w=375 IOPS][eta 07m:11s]
Jobs: 1 (f=1): [m(1)][28.3%][r=6416k,w=3168k][r=802,w=396 IOPS][eta 07m:10s]
Jobs: 1 (f=1): [m(1)][28.5%][r=6856k,w=3032k][r=857,w=379 IOPS][eta 07m:09s]
Jobs: 1 (f=1): [m(1)][28.7%][r=7152k,w=3040k][r=894,w=380 IOPS][eta 07m:08s]
Jobs: 1 (f=1): [m(1)][28.8%][r=7184k,w=3376k][r=898,w=422 IOPS][eta 07m:07s]
Jobs: 1 (f=1): [m(1)][29.0%][r=7176k,w=2920k][r=897,w=365 IOPS][eta 07m:06s]
Jobs: 1 (f=1): [m(1)][29.2%][r=6936k,w=3032k][r=867,w=379 IOPS][eta 07m:05s]
Jobs: 1 (f=1): [m(1)][29.3%][r=7592k,w=3232k][r=949,w=404 IOPS][eta 07m:04s]
Jobs: 1 (f=1): [m(1)][29.5%][r=7792k,w=3472k][r=974,w=434 IOPS][eta 07m:03s]
Jobs: 1 (f=1): [m(1)][29.7%][r=8680k,w=3608k][r=1085,w=451 IOPS][eta 07m:02s]
Jobs: 1 (f=1): [m(1)][29.8%][r=6176k,w=3000k][r=772,w=375 IOPS][eta 07m:01s] 
Jobs: 1 (f=1): [m(1)][30.0%][r=7176k,w=3096k][r=897,w=387 IOPS][eta 07m:00s]
